cash,price_AAPL,price_AMZN,price_F,price_JPM,price_MSFT,price_NVDA,price_PG,price_SPY,price_UNH,price_XOM,shares_AAPL,shares_AMZN,shares_F,shares_JPM,shares_MSFT,shares_NVDA,shares_PG,shares_SPY,shares_UNH,shares_XOM,reward
0.0,41.20710754394531,79.32550048828125,7.3497633934021,92.58512115478516,86.0563735961914,6.1742048263549805,63.84113693237305,240.79942321777344,200.1971130371093,51.83904647827149,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003424643073230982
0.0,40.27357864379883,79.09300231933594,7.42332649230957,92.66586303710938,85.45573425292969,6.148972511291504,62.80579376220703,240.3373260498047,196.70132446289065,52.57468032836914,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02291511744260788
0.0,39.70452499389648,77.24600219726562,7.189258098602295,88.79737854003906,82.97004699707031,5.982977867126465,62.29220199584961,234.32955932617188,189.9833374023437,51.49571990966797,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014230476692318916
0.0,38.78508758544922,74.77799987792969,7.062193393707275,86.4229965209961,80.55828857421875,5.763301372528076,61.88457489013672,229.3348846435547,187.6351623535156,51.06834411621094,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023429328575730324
0.0,40.62628936767578,77.79299926757812,7.242760181427002,89.08812713623047,86.65699005126953,6.04803991317749,62.29220199584961,235.6092071533203,193.3908843994141,51.84604644775391,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04637954756617546
0.0,39.5845947265625,74.85250091552734,7.242760181427002,87.3598403930664,82.67436981201172,5.578999042510986,63.41722869873047,231.6011657714844,192.4110412597656,51.63584518432617,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025975357741117477
0.0,39.14721298217773,71.57099914550781,7.26282262802124,87.22254943847656,82.6004409790039,5.475841045379639,64.2732162475586,230.9167938232422,192.88771057128903,51.01231002807617,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011110789142549038
0.0,39.45291519165039,72.36699676513672,7.409950256347656,88.81355285644531,84.33763885498047,5.729161262512207,64.63192749023438,233.86737060546875,188.91519165039065,52.27341079711914,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007778708823025227
0.0,39.19424057006836,68.59950256347656,7.26282262802124,87.10140991210938,81.79651641845703,5.468417167663574,63.09928512573242,228.8194274902344,191.7400817871093,51.2995491027832,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006578128784894943
0.0,39.59634780883789,69.60250091552734,7.45676326751709,88.29668426513672,82.89612579345703,5.574793815612793,63.96343994140625,231.752182006836,198.25498962402344,52.560672760009766,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010207075625658035
0.0,40.35351943969727,70.52850341796875,7.577142715454102,89.6373291015625,85.31712341308594,5.596811294555664,64.44441986083984,234.2317352294922,201.9714813232422,52.45558166503906,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189417265355587
0.0,40.63334655761719,72.5875015258789,7.590518474578857,90.81428527832033,85.36331939697266,5.476581573486328,64.24060821533203,236.080307006836,202.21875,53.26130676269531,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006910459604114294
0.0,39.59400177001953,70.2614974975586,7.476829528808594,88.54960632324219,83.37664031982422,5.300198078155518,63.93898391723633,230.819076538086,197.70762634277344,52.45558166503906,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02591143734753132
0.0,39.98670196533203,70.30400085449219,7.523643493652344,89.61296844482422,83.87561798095703,5.32889461517334,63.7188720703125,231.9566345214844,196.62188720703125,52.45558166503906,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009869311936199665
0.0,40.73915863037109,71.81099700927734,7.657394409179687,91.32566833496094,85.82535552978516,5.638123512268066,63.89007186889648,235.6448211669922,200.20594787597656,53.9969482421875,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018642811104655266
0.0,40.54869842529297,71.35250091552734,7.644022464752197,89.79154205322266,84.8828353881836,5.596811294555664,63.808536529541016,234.40948486328125,195.8891143798828,54.249168395996094,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004686076194047928
0.0,40.94844436645508,72.42500305175781,7.563769340515137,92.02375793457033,86.47216796875,5.803622245788574,63.41722869873047,236.3380584716797,197.9548492431641,54.10204315185547,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009810138493776321
0.0,41.087188720703125,71.53949737548828,7.543704509735107,89.53180694580078,86.01014709472656,5.726934909820557,63.89007186889648,235.6448211669922,197.9901428222656,54.53643798828125,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003382541937753558
0.0,41.3434944152832,72.07499694824219,7.610581398010254,89.458740234375,87.01741027832031,5.726688861846924,64.08573150634766,237.5822296142578,203.3221740722656,55.02685546875,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006218716502189636
0.0,41.91255569458008,75.19149780273438,7.610581398010254,89.458740234375,88.77304077148438,5.876354217529297,63.93898391723633,240.1239471435547,210.5874786376953,54.87974166870117,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01367036160081625
0.0,41.81848907470703,76.39199829101562,7.577142715454102,88.73631286621094,89.1149673461914,5.847410202026367,63.75148010253906,240.3017425537109,208.68946838378903,55.5032958984375,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022468764800578356
0.0,40.63334655761719,77.84549713134766,7.428039073944092,90.68441772460938,88.81001281738281,5.666079521179199,61.66738510131836,238.9686584472656,208.12448120117188,55.643402099609375,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028749490156769753
0.0,38.96851348876953,76.37449645996094,7.33315896987915,90.48149871826172,87.78431701660156,5.657915592193604,60.721187591552734,236.9423065185547,207.5065155029297,55.34914779663086,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04183509945869446
0.0,38.85564041137695,75.89299774169922,7.482259750366211,90.0431900024414,88.10773468017578,5.538428783416748,60.06295776367188,236.90684509277344,206.8709259033203,55.74850082397461,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029007229022681713
0.0,38.314788818359375,73.00450134277344,7.428039073944092,89.62108612060547,86.04711151123047,5.472130298614502,59.65155029296875,233.71627807617188,206.76499938964844,54.89375686645508,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014017297886312008
0.0,38.481746673583984,73.00849914550781,7.529701709747314,89.28015899658203,85.29866790771484,5.359817028045654,59.487003326416016,234.29397583007807,207.36524963378903,55.6994514465332,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004348063841462135
