Date,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM,AAPL,AMZN,F,GOOG,JPM,MSFT,NVDA,PG,SPY,UNH,XOM
2019-05-14,45.21173858642578,92.00599670410156,7.405797958374023,55.604949951171875,92.10081481933594,117.20162963867188,4.021435737609863,89.77774047851562,256.7502746582031,211.63717651367188,55.99793243408203,45.46096949743799,92.62200164794922,7.44195921996965,56.59651355442407,93.26960816268662,118.2822129395221,4.056676706245999,90.54289298408527,258.2904250127476,215.71901159142556,56.729211454012386,44.43288696152573,90.7874984741211,7.326243734638603,55.56078277117502,91.41623686199516,116.23379169761566,3.933333316019523,89.75223647604116,255.34604106564015,211.502911463849,55.96100273650028,44.67253361534113,91.9749984741211,7.340707825445635,56.437208802500564,91.45798198366927,116.39353639477913,3.9720484896725825,89.92226748338234,255.4728616895639,215.40570826356827,56.23430391365956,146118800.0,92582000.0,31297200,36732000.0,10503600.0,25266300.0,524880000.0,7004000,77003200.0,5329700.0,10548400
2019-05-15,45.75333786010742,93.55750274658203,7.492585182189941,57.777164459228516,91.75019073486328,118.85210418701172,3.9603848457336426,90.71290588378906,258.254150390625,211.3239288330078,56.41157913208008,45.95224501789583,93.72149658203125,7.521514055877209,58.13051708777836,92.58504232231535,119.50285997371107,3.9968664867634973,90.96795883015567,258.8973772256288,212.6218746544319,56.54453842360867,44.57907074085087,91.1500015258789,7.261154192691797,55.4176636788489,90.67323142272068,116.66406377447252,3.9065307580109603,89.69270707085441,254.9020718206903,208.22674903424513,55.554729112109186,44.63898240319493,91.39749908447266,7.384102078292375,55.47741527362779,91.17414110130949,117.19221642263173,3.9658445479217614,89.78622605210444,255.11045353809516,210.35717930608834,55.82064769516637,106178800.0,93852000.0,44050200,45786000.0,10142000.0,24722700.0,502320000.0,5535600,73956400.0,5099700.0,8918000
2019-05-16,45.55204391479492,95.37850189208984,7.521512985229492,58.51016616821289,92.92729949951172,121.59658813476562,3.9755234718322754,91.91165924072266,260.64599609375,211.95947265625,56.40418243408203,46.12479936568324,95.87550354003906,7.550441854798888,58.965748862513145,93.64527215282916,122.02100411322301,4.018209881343574,92.39625472145732,262.0139836797389,215.235677175599,56.839989935546505,45.25488069859609,94.114501953125,7.4491911561653295,57.70917073453454,92.32620552283569,119.26708522249037,3.9124871977409756,90.6194003012523,258.88842276281537,211.0016832210318,56.30077029354677,45.51130441572803,94.2969970703125,7.4491911561653295,57.79204904306433,92.35125641303901,119.5405911860931,3.9549250946993952,90.74692679329128,258.9608877573156,211.15385486368496,56.43372956502625,132125600.0,94156000.0,32697000,30628000.0,9672700.0,30112200.0,781088000.0,9284200,76749600.0,4456400.0,8105200
2019-05-17,45.293209075927734,93.44999694824219,7.441961288452148,57.682376861572266,92.47650146484375,120.78551483154297,3.884690999984741,91.35055541992188,258.9608154296875,216.06813049316406,56.07179260253906,45.74853617008886,95.52649688720703,7.550444413673061,58.5682308655447,93.29465876934425,123.03957347304014,4.06288110796303,91.81815044726217,261.46128558312,217.01697333921447,56.35987011322952,44.75639935564675,93.36650085449219,7.405800016805547,57.56872729397723,91.69174535538883,120.64403804530934,3.845231234428484,91.1890278992414,258.30852007000226,210.9389866681721,55.83541553167556,44.79713884034815,94.65249633789062,7.463657775552553,57.988578693294606,91.83366858727399,121.01185466410145,3.9335816975546996,91.19752490972573,258.3266570494433,211.40446164010956,55.87973905023224,131516400.0,94732000.0,34565400,24172000.0,9570100.0,25770500.0,1022068000.0,6370200,100353000.0,4486400.0,9279400
2019-05-20,43.87689971923828,92.94850158691406,7.434727191925049,56.51860046386719,92.96073150634766,119.04071044921875,3.7660634517669678,91.24853515625,257.24853515625,220.19473266601562,56.06440734863281,44.178856807213535,93.38899993896484,7.449191973155499,56.912992755497015,93.34476250743265,120.3327813609976,3.8410124679471944,91.92866568058615,259.0695043234481,220.86608534625327,56.40419095249848,43.20349328767014,91.7770004272461,7.3768694464407085,56.15100759852266,92.14258044255308,118.60687573766724,3.741245805830737,91.08700115682156,256.4965694181352,214.62698001188156,55.89451272893005,43.979949669541405,92.6344985961914,7.449191973155499,56.798994856853625,92.31789852765192,119.32364237652237,3.785917473844507,91.34205415736464,257.3481779432257,214.8328576760503,56.175207697522445,154449200.0,75964000.0,29535900,27066000.0,8518200.0,23706900.0,572064000.0,6565300,62877600.0,5390800.0,7154300
2019-05-21,44.71806335449219,92.8759994506836,7.405797958374023,57.053585052490234,93.27796173095703,119.68205261230469,3.8482096195220947,90.432373046875,259.5677185058594,223.7305145263672,56.32294464111328,45.05356717931072,93.94999694824219,7.45642400049538,57.20633950901674,93.43657918617444,120.27621623344382,3.864092885462268,91.42706805624053,259.9482078503325,224.84047551874346,56.478062894351815,44.26273255598997,92.30000305175781,7.340707825445635,56.473436924085505,92.85218567871762,119.38025418952009,3.7881512346758224,90.36435804975588,258.69797327998845,220.9197852625583,56.0865731644345,44.387349829515756,93.739501953125,7.45642400049538,56.99701016925062,93.03585402946447,120.181905575469,3.8268666510277507,91.36755655532808,258.95164205891166,221.10775635894885,56.33771539285672,113459200.0,80102000.0,30099300,23196000.0,7967900.0,15293300.0,361848000.0,5226400,46847100.0,5345300.0,8489900
2019-05-22,43.8026123046875,92.98400115966797,7.210528373718262,57.142425537109375,92.51824951171875,120.40825653076172,3.777231216430664,90.72992706298828,258.7705993652344,223.1934356689453,55.813255310058594,44.50477885718109,93.57450103759766,7.384101604709671,57.49478236969928,93.32805654303816,120.94584240922411,3.835552374346456,91.01048405061728,259.73091935569033,224.70621924449014,56.30077455422372,43.74749460169806,92.55000305175781,7.181599501886359,56.867983178907615,92.45981015736642,119.32366593998285,3.766311339053399,90.06679708224108,258.2904393700064,222.62950869899768,55.687684220697065,44.253149155342534,92.58899688720703,7.35517273287777,56.91066613496639,93.00246494458774,119.41798379648361,3.8094940601751244,90.19431708910255,258.60753241919565,222.97861155037685,56.15303888832243,118994400.0,58732000.0,51407200,18290000.0,7918900.0,15396500.0,325868000.0,4889700,49482500.0,4038000.0,7858300
2019-05-23,43.05491256713867,90.77400207519531,7.123743057250977,56.6138916015625,90.69828033447266,119.00298309326172,3.6561217308044434,90.763916015625,255.6086883544922,220.65121459960938,54.50582504272461,43.26579910587868,92.19999694824219,7.123743057250976,56.87210209048057,91.65836098032338,119.10672695712489,3.714939205983838,90.9934584673431,256.57804879227314,222.12818481194697,55.25187463002814,42.61156485806626,90.20999908447266,6.993562765409434,56.040888162197945,89.74654998833539,117.64488683573703,3.596311388848484,90.0242676956168,254.18631828284336,218.76247546175952,53.95182899617569,43.08846294762348,91.82949829101562,7.123743057250976,56.60049188720563,91.53313196227113,119.02184234330926,3.714939205983838,90.69590103501758,256.53276165279954,221.97601319954336,55.229710054313244,146118800.0,88486000.0,43153800,23978000.0,14558000.0,23603800.0,591844000.0,6175600,98733800.0,3934600.0,14657200
2019-05-24,42.889556884765625,91.16400146484375,7.109277725219727,56.25160217285156,91.59156036376953,119.05957794189453,3.6022675037384033,90.70441436767578,256.1885986328125,221.6627655029297,54.73480987548828,43.64923624926381,92.08799743652344,7.196064349843876,57.0602875476308,91.80027324574952,120.17246086872368,3.7102237147782917,91.34204028593479,257.4750801791081,223.2113485894423,54.845610215152014,42.80567910310189,90.89250183105469,7.0875812414933845,56.161776008515325,91.15744037179229,118.80493847014878,3.5955666591393607,90.57688788677073,255.56348101742185,219.76506589638865,54.247296270722956,43.18432121043186,91.79450225830078,7.174367866117534,56.94093203513834,91.43293653525299,119.69147440037712,3.6749827441966216,91.09549081918935,257.058316670289,221.32260909390044,54.764357008434565,94858800.0,67394000.0,22131500,22240000.0,8537300.0,14123400.0,357584000.0,4372100,55268100.0,2973900.0,7056400
2019-05-28,42.71223068237305,91.82150268554688,7.073117256164551,56.28534698486328,90.59808349609375,118.9841537475586,3.5570995807647705,88.80856323242188,253.80587768554688,216.67684936523438,53.63421630859375,43.27779704547823,92.4635009765625,7.159903890567439,57.15070564937318,91.69174331062584,120.71949300570317,3.65264720758781,91.18053312421517,257.42973466523796,223.15764584324822,54.8456208158377,42.63554563921086,91.36750030517578,7.065885553920122,56.234228160406715,90.53130021572703,118.88040985762142,3.5551140839343893,88.77455572842895,253.7877683538689,216.60523676971584,53.54557489262207,42.877587491862045,91.63749694824219,7.138207404396432,56.27790312078791,91.16578278038618,119.75751271180867,3.6198880482974656,90.71293805214783,256.4694147774466,222.44153354676894,54.83823262228828,111792800.0,64000000.0,27656200,27300000.0,11665500.0,23128400.0,428356000.0,7615500,70029400.0,6172700.0,14912900
